school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
U. of Akron,Akron,1990,79,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNIVERSITY OF AKRON, MAIN CAMPUS",AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Akron,Akron,1991,77,,,,,,724-1074,,,1990,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,.9908492160634144,,68628,9749,1802521,,,,,,,2621438,,1486670,,,,,,,,7723177,,2621438,1486670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.14205572,,,,
,Akron,,,,,,,,,,,1991,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,1,,70000,10436,1505447,,,,,,,4084436,,422482,,,,,,,,8512164,,4084436,422482,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.14908572,,,,
U. of Akron,Akron,1993,95,,16,,,,748-1074,,,1992,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,.7887323943661971,,71000,12250,1789551,,,,,,,4017577,,922911,,,,,,,,8131367,,4017577,922911,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,.17253521,,3453,80,3373
University of Akron,Akron,1994,82,,18,,,207,,911,,1993,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Akron,Akron,1996,95,16,15,,,,19-24,,,1995,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,1,,55000,11591,5549000,,,,,,,4010000,,1400000,,,,,,,,12599000,,4010000,1400000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),10,1,1,.21074545,,,,
Univ of Akron,Akron,1997,61,10,14,,,,,,,1996,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),11,2,1,,,2900,86,2814
Univ of Akron,Akron,1998,100,11,14,,,,17-23,,2.2,1997,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12,2,1,,,,,
University of Akron,Akron,1999,100,13,12,,,,,,2.2,1998,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12,2,1,,,3054,69,2985
University of Akron,Akron,2000,100,13,11,,,,17-24,,,1999,124,200800,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
