teamname,bcs,team,opponent,line,overunder,ownscore,opponentscore,vseteamname,date,day,month,year,season,realspread,win,tie
Air Force,,42,127,-12.5,,45,7,,09nov1985,9,11,1985,1985,38,1,0
Air Force,,42,102,-4.5,44.5,21,15,,05oct1985,5,10,1985,1985,6,1,0
Air Force,,42,93,-13,,37,15,,26oct1985,26,10,1985,1985,22,1,0
Air Force,,42,98,-24,,59,17,,21sep1985,21,9,1985,1985,42,1,0
Air Force,,42,87,-8,,49,7,,14sep1985,14,9,1985,1985,42,1,0
Air Force,,42,89,-23,,35,19,,19oct1985,19,10,1985,1985,16,1,0
Air Force,,42,132,-19.5,,31,10,,02nov1985,2,11,1985,1985,21,1,0
Air Force,,42,33,1.5,,21,28,,16nov1985,16,11,1985,1985,-7,0,0
Air Force,,42,131,,39,24,16,,31dec1985,31,12,1985,1985,,,0
Air Force,,42,63,-18,,49,12,,28sep1985,28,9,1985,1985,37,1,0
Air Force,,42,41,-26,,48,6,,31aug1985,31,8,1985,1985,42,1,0
Air Force,,42,66,-7.5,,24,7,,12oct1985,12,10,1985,1985,17,1,0
Air Force,,42,50,-15.5,,27,20,,23nov1985,23,11,1985,1985,7,1,0
Air Force,,42,66,-5,,40,6,,11oct1986,11,10,1986,1986,34,1,0
Air Force,,42,127,-8.5,,11,21,,08nov1986,8,11,1986,1986,-10,0,0
Air Force,,42,132,-3,,22,10,,25oct1986,25,10,1986,1986,12,1,0
Air Force,,42,87,-12,,17,23,,20sep1986,20,9,1986,1986,-6,0,0
Air Force,,42,102,9.5,39.5,3,31,,18oct1986,18,10,1986,1986,-28,0,0
Air Force,,42,89,-4.5,,24,7,,27sep1986,27,9,1986,1986,17,1,0
Air Force,,42,33,-3.5,37.5,3,23,,06dec1986,6,12,1986,1986,-20,0,0
Air Force,,42,93,-7.5,,45,35,,03oct1986,3,10,1986,1986,10,1,0
Air Force,,42,41,-15,,23,21,,06sep1986,6,9,1986,1986,2,1,0
Air Force,,42,98,-11,,17,21,,22nov1986,22,11,1986,1986,-4,0,0
Air Force,,42,50,-11.5,,24,17,,30aug1986,30,8,1986,1986,7,1,0
Air Force,,42,102,12.5,,14,35,,17oct1987,17,10,1987,1987,-21,0,0
Air Force,,42,132,1,,49,7,,19sep1987,19,9,1987,1987,42,1,0
Air Force,,42,63,-22,,73,26,,14nov1987,14,11,1987,1987,47,1,0
Air Force,,42,41,-6,,35,7,,24oct1987,24,10,1987,1987,28,1,0
Air Force,,42,66,-20.5,,23,13,,10oct1987,10,10,1987,1987,10,1,0
Air Force,,42,93,-11,,48,27,,03oct1987,3,10,1987,1987,21,1,0
Air Force,,42,110,-1,,21,10,,12sep1987,12,9,1987,1987,11,1,0
Air Force,,42,87,5.5,,13,27,,05sep1987,5,9,1987,1987,-14,0,0
Air Force,,42,50,-6.5,45,34,31,,21nov1987,21,11,1987,1987,3,1,0
Air Force,,42,33,1.5,46,13,24,,31oct1987,31,10,1987,1987,-11,0,0
Air Force,,42,112,,45,28,33,,30dec1987,30,12,1987,1987,,,0
Air Force,,42,127,-13.5,,27,10,,07nov1987,7,11,1987,1987,17,1,0
Air Force,,42,89,-13.5,,27,19,,26sep1987,26,9,1987,1987,8,1,0
Air Force,,42,50,3,,14,19,,26nov1988,26,11,1988,1988,-5,0,0
Air Force,,42,89,-8,,29,23,,03sep1988,3,9,1988,1988,6,1,0
Air Force,,42,33,5,,31,49,,12nov1988,12,11,1988,1988,-18,0,0
Air Force,,42,87,1.5,,45,48,,24sep1988,24,9,1988,1988,-3,0,0
Air Force,,42,127,-1,,15,28,,05nov1988,5,11,1988,1988,-13,0,0
Air Force,,42,132,-8.5,47,36,39,,10sep1988,10,9,1988,1988,-3,0,0
Air Force,,42,41,6.5,,24,31,,19nov1988,19,11,1988,1988,-7,0,0
Air Force,,42,102,-20,,13,41,,22oct1988,22,10,1988,1988,-28,0,0
Air Force,,42,66,-20,,34,24,,08oct1988,8,10,1988,1988,10,1,0
Air Force,,42,63,-37,,63,14,,01oct1988,1,10,1988,1988,49,1,0
Air Force,,42,93,-12,,56,49,,15oct1988,15,10,1988,1988,7,1,0
Air Force,,42,94,-16,,62,27,,17sep1988,17,9,1988,1988,35,1,0
Air Force,,42,77,,52,29,42,,28dec1989,28,12,1989,1989,,,0
Air Force,,42,127,-8.5,,29,3,,04nov1989,4,11,1989,1989,26,1,0
Air Force,,42,132,-11.5,,52,36,,02sep1989,2,9,1989,1989,16,1,0
Air Force,,42,50,,56.5,35,35,,09dec1989,9,12,1989,1989,,,0
Air Force,,42,87,-3,,45,7,,09sep1989,9,9,1989,1989,38,1,0
Air Force,,42,66,-14,,35,7,,07oct1989,7,10,1989,1989,28,1,0
Air Force,,42,33,2.5,,35,44,,11nov1989,11,11,1989,1989,-9,0,0
Air Force,,42,41,-20.5,,43,26,,23sep1989,23,9,1989,1989,17,1,0
Air Force,,42,93,-21,,42,38,,25nov1989,25,11,1989,1989,4,1,0
Air Force,,42,89,-8.5,,46,21,,30sep1989,30,9,1989,1989,25,1,0
Air Force,,42,110,-11,,9,27,,21oct1989,21,10,1989,1989,-18,0,0
Air Force,,42,94,-13.5,,48,31,,16sep1989,16,9,1989,1989,17,1,0
Air Force,,42,102,12.5,50,27,41,,14oct1989,14,10,1989,1989,-14,0,0
Air Force,,42,89,-3,,33,35,,01sep1990,1,9,1990,1990,-2,0,0
Air Force,,42,93,-8.5,44.5,52,21,,27oct1990,27,10,1990,1990,31,1,0
Air Force,,42,50,2,53,27,3,,08sep1990,8,9,1990,1990,24,1,0
Air Force,,42,132,4,,18,48,,29sep1990,29,9,1990,1990,-30,0,0
Air Force,,42,87,8.5,55,12,24,,22sep1990,22,9,1990,1990,-12,0,0
Air Force,,42,127,3,,15,3,,10nov1990,10,11,1990,1990,12,1,0
Air Force,,42,105,,48.5,23,11,,27dec1990,27,12,1990,1990,,,0
Air Force,,42,66,-10,41.5,24,7,,06oct1990,6,10,1990,1990,17,1,0
Air Force,,42,41,-8,,14,13,,17nov1990,17,11,1990,1990,1,1,0
Air Force,,42,102,28.5,,27,57,,13oct1990,13,10,1990,1990,-30,0,0
Air Force,,42,33,17.5,63,7,54,,03nov1990,3,11,1990,1990,-47,0,0
Air Force,,42,76,,43.5,38,15,,29dec1991,29,12,1991,1991,,,0
Air Force,,42,87,-4,,51,28,,05oct1991,5,10,1991,1991,23,1,0
Air Force,,42,93,-5.5,,24,21,,14sep1991,14,9,1991,1991,3,1,0
Air Force,,42,127,-14.5,,25,0,,09nov1991,9,11,1991,1991,25,1,0
Air Force,,42,50,-4,,24,20,,23nov1991,23,11,1991,1991,4,1,0
Air Force,,42,102,19.5,59,15,28,,19oct1991,19,10,1991,1991,-13,0,0
Air Force,,42,66,-14,,46,6,,12oct1991,12,10,1991,1991,40,1,0
