Variable,Coefficient,P-value,N
alumni_ops_athletics,-181527.556278131,0.4500223103490891,33.0
alum_non_athl_ops,-124212.53824485067,0.864511402792324,33.0
alumni_total_giving,-3973002.14398616,0.007283635001880205,60.0
vse_alum_giving_rate,0.0005851520327627152,0.7991723359292084,70.0
usnews_academic_rep_new,3.872505385874828e-05,0.9953880236639014,48.0
applicants,-417.3021776988919,0.0020629101792686553,20.0
acceptance_rate,-0.8671960039354923,0.043912694935706466,63.0
firsttime_outofstate,-30.697054757785576,0.15015220112994743,48.0
first_time_instate,-10.002083183380126,0.7780081567964166,48.0
sat_25,-0.22955653038565083,0.9519420589515675,17.0
